hospital_id,hospital_name
1,Sons and Miller
2,Kim Inc
3,Cook PLC
4,"Hernandez Rogers and Vang,"
5,White-White
6,Nunez-Humphrey
7,Group Middleton
8,"Powell Robinson and Valdez,"
9,Sons Rich and
10,Padilla-Walker
11,Schaefer-Porter
12,Lyons-Blair
13,"Powers Miller, and Flores"
14,Rivera-Gutierrez
15,Morris-Arellano
16,Cline-Williams
17,Cervantes-Wells
18,"Torres, and Harrison Jones"
19,Houston PLC
20,Hammond Ltd
21,Jones LLC
22,Williams-Davis
23,Clark-Mayo
24,and Sons Smith
25,Wilson Group
26,Garner-Bowman
27,"Brown, and Jones Weaver"
28,Serrano-Dixon
29,Gardner-Miller
30,Guerrero-Boone
31,Hart Ltd
32,Cruz-Santiago
33,Group Duncan
34,Lopez-Phillips
35,Poole Inc
36,Sons and Cox
37,LLC Martin
38,Espinoza-Stone
39,"and Garcia Morris Cunningham,"
40,Walton-Meyer
41,PLC Young
42,Meadows Group
43,"and Howell Brooks, Rogers"
44,"and Mcclure White Boone,"
45,"Gates Brown, and Stuart"
46,Group Armstrong
47,Ltd Schwartz
48,Nelson-Phillips
49,"Knight and Nguyen, Riggs"
50,Lopez PLC
51,"Fernandez and Phillips, Singh"
52,Beck-Galloway
53,"Decker Glover, and Christensen"
54,"Nelson Walker Myers, and"
55,Mitchell-Navarro
56,Group Delgado
57,"and Montes Graves, Thomas"
58,Hall-Bentley
59,Taylor-Nguyen
60,Hunter-Grant
61,Miller-Lawson
62,Scott-Kelly
63,"Moss and Ferguson, Baker"
64,"and Mason Smith Chase,"
65,"Khan, and Rodriguez Fischer"
66,Sons Watson and
67,Rhodes-Carey
68,Bullock-Ramsey
69,"Clark Brown, and Myers"
70,"Jackson and Lane, Dillon"
71,"Turner Cook, Banks and"
72,"Miles, and Weaver Hudson"
73,Evans Ltd
74,Sons and Schaefer
75,Sons Hodges and
76,Simpson-Mccall
77,"Lin Thompson Wells, and"
78,Jones-Scott
79,Howe-Kelly
80,and Sons Reyes
81,Shaw-Young
82,Inc Skinner
83,Clark-Johnson
84,Perez and Sons
85,Kemp LLC
86,LLC Dixon
